OBJECTID,created_at,closed_at,is_closed,resolution_hours,Case_Status,Case_Source,Agency,Type,Topic,Neighborhood,Incident_Address_1,is_likely_internal,has_valid_coordinates
374877130,2026-08-14,,False,,New,Email - Mayor's Office,Mayor's Office,,,,,True,False
374877129,2026-08-14,,False,,New,PocketGov,311,,,,500 16th St,False,True
374877131,2026-08-14,,False,,New,Email - DLCP Licenses,DLCP,,,,,True,False
374877132,2026-08-14,,False,,New,Fax,311,,,,,True,False
374877133,2026-08-14,,False,,New,Email - DLCP Applications,DLCP,,,,,True,False
374877134,2026-08-14,,False,,New,PocketGov,311,,,,2639 17th St,False,True
374877135,2026-08-13,2026-08-13,True,0.0,Closed - Out of Jurisdiction,Phone,Safety,,,,,False,False
374877136,2026-08-13,,False,,Intake,PocketGov,Public Works,,,,8802 E 24th Pl,False,True
374877138,2026-08-13,,False,,New,Email - Mayor's Office,Mayor's Office,,,,,True,False
374877137,2026-08-13,2026-08-13,True,0.0,Closed - Approved,Phone,Safety,,,,1371 N Willow St,False,True
374877141,2026-08-13,,False,,New,City Council 10,City Council,,,,,False,False
374877139,2026-08-13,2026-08-13,True,0.0,Closed - Transferred to External Agency,Phone,Safety,,,,,False,False
374877145,2026-08-13,,False,,New,PocketGov,311,,,,8778 E 24th Ave,False,True
374877140,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Safety,,,,,False,False
374877149,2026-08-13,,False,,New,PocketGov,311,,,,3452 S Fairfax St,False,True
374877142,2026-08-13,,False,,Routed to Agency,Phone,Public Works,,,,5573 N Hannibal St,False,True
374877154,2026-08-13,,False,,New,PocketGov,311,,,,8778 E 24th Ave,False,True
374877143,2026-08-13,,False,,In-Progress,PocketGov,Safety,,,,4785 N Tejon St,False,True
374877158,2026-08-13,,False,,Routed to Agency,PocketGov,Community Planning & Development,,,,3900 N Tennyson St,False,True
374877144,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,DLCP,,,,,False,False
374877159,2026-08-13,2026-08-13,True,0.0,Closed - Transferred to External Agency,Phone,Finance,,,,,False,False
374877146,2026-08-13,,False,,New,Email - City Clerk,Clerk & Recorder,,,,,True,False
374877161,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,311,,,,,False,False
374877147,2026-08-13,2026-08-13,True,0.0,Closed - Approved,Phone,Safety,,,,,False,False
374877165,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Safety,,,,,False,False
374877148,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Parks & Recreation,,,,,False,False
374877172,2026-08-13,2026-08-13,True,0.0,Closed - Transferred to External Agency,Phone,External Agency,,,,,False,False
374877150,2026-08-13,2026-08-13,True,0.0,Closed - Approved,Phone,Safety,,,,,False,True
374877173,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Finance,,,,,False,False
374877151,2026-08-13,,False,,New,Email - DLCP Licenses,DLCP,,,,,True,False
374877174,2026-08-13,2026-08-13,True,0.0,Closed - Transferred to External Agency,Phone,Safety,,,,,False,False
374877152,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Finance,,,,,False,False
374877176,2026-08-13,2026-08-13,True,0.0,Closed - Answer Provided,Phone,Public Health & Environment,,,,,False,False
